symbol;company;purpose;bm_desc;date
BAJAJHLDNG;Bajaj Holdings & Investment Limited;Dividend;To consider interim dividend;12-Sep-2024
HATSUN;Hatsun Agro Product Limited;Other business matters;To consider the Appointment of Additional Director / Re-designating the Managing Director as the Executive Vice Chairman / Revision in Remuneration / Appointment of Company Secretary and Compliance Officer / Approval of Postal Ballot Notice etc;12-Sep-2024
HILTON;Hilton Metal Forging Limited;Other business matters;To consider other business matters;12-Sep-2024
INDOTHAI;Indo Thai Securities Limited;Fund Raising/Other business matters;To consider Fund Raising and other business matters;12-Sep-2024
INTERARCH;Interarch Building Products Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;12-Sep-2024
MAHSCOOTER;Maharashtra Scooters Limited;Dividend;To consider declaration of interim dividend, if any, for the financial year ending 31 March 2025;12-Sep-2024
MINDACORP;Minda Corporation Limited;Fund Raising;To consider Fund Raising Prior intimation of the proposed meeting of the Board of Directors of Minda Corporation Limited ( Company ) to be held on Thursday, September 12, 2024;12-Sep-2024
NAZARA;Nazara Technologies Limited;Fund Raising;Nazara Technologies Limited informs the exchange that the meeting of the Board of Directors of the Company is scheduled on 12/09/2024,inter alia, to consider and approve Preferential Issue and other related matters.;12-Sep-2024
