symbol;company;purpose;bm_desc;date
ACE;Action Construction Equipment Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
ADANIPOWER;Adani Power Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
AMBUJACEM;Ambuja Cements Limited;Financial Results;To consider and approve the Unaudited financial results for the period ended Jun 30, 2024;31-Jul-2024
ANUP;The Anup Engineering Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
ASAHIINDIA;Asahi India Glass Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;31-Jul-2024
ASTERDM;Aster DM Healthcare Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
BANKBARODA;Bank of Baroda;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
BANSALWIRE;Bansal Wire Industries Limited;Financial Results;To consider and approve the Standalone and Consolidated financial results for the period ended June 30, 2024;31-Jul-2024
BARBEQUE;Barbeque Nation Hospitality Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
BCG;Brightcom Group Limited;Other business matters;To consider 1. Appointment of two Independent Directors of the company and 2. Appointment of Company Secretary and 3. other business matters;31-Jul-2024
BHAGYANGR;Bhagyanagar India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
BHEL;Bharat Heavy Electricals Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
BSOFT;BIRLASOFT LIMITED;Financial Results;To  consider and approve the unaudited financial results (Standalone and Consolidated) of the Company, along with the Limited Review Reports for the quarter ended June 30, 2024.;31-Jul-2024
COALINDIA;Coal India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
CSLFINANCE;CSL Finance Limited;Financial Results;To consider and approve the Un-Audited Financial results for the period ended Jun 30, 2024;31-Jul-2024
DEEPAKFERT;Deepak Fertilizers and Petrochemicals Corporation Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
DWARKESH;Dwarikesh Sugar Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
DYCL;Dynamic Cables Limited;Financial Results;Intimation of Board Meeting pursuant to Regulation 29 of the Securities and Exchange of India (Listing Obligations and Disclosure Requirements) Regulations, 2015;31-Jul-2024
ELECTCAST;Electrosteel Castings Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
ELGIEQUIP;Elgi Equipments Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
ENIL;Entertainment Network (India) Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;31-Jul-2024
FINOPB;Fino Payments Bank Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
FIVESTAR;Five-Star Business Finance Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
GET&D;GE T&D India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
GINNIFILA;Ginni Filaments Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
GODREJPROP;Godrej Properties Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;31-Jul-2024
GPTINFRA;GPT Infraprojects Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
GREENPLY;Greenply Industries Limited;Financial Results;To consider, approve and take on record the Un-audited financial results of the Company for the quarter ended on 30th June, 2024.;31-Jul-2024
HEIDELBERG;HeidelbergCement India Limited;Financial Results;To consider and approve the unaudited financial results for the 1st quarter ended Jun 30, 2024;31-Jul-2024
IIFLSEC;IIFL Securities Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;31-Jul-2024
IMFA;Indian Metals & Ferro Alloys Limited;Financial Results/Other business matters;To consider and approve the Unaudited Financial Results for the period ended Jun 30, 2024 and other business matters;31-Jul-2024
INDOSTAR;IndoStar Capital Finance Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
JBMA;JBM Auto Limited;Financial Results/Fund Raising/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024, Fund Raising and other business matters;31-Jul-2024
JISLDVREQS;Jain Irrigation Systems Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
JISLJALEQS;Jain Irrigation Systems Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
JKLAKSHMI;JK Lakshmi Cement Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
KERNEX;Kernex Microsystems (India) Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;31-Jul-2024
KPRMILL;K.P.R. Mill Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;31-Jul-2024
