symbol;company;purpose;bm_desc;date
AARTISURF;Aarti Surfactants Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;20-Jul-2024
AKSHAR;Akshar Spintex Limited;Other business matters;To consider Resignation of  Company Secretary & Compliance officer;20-Jul-2024
ARIHANTCAP;Arihant Capital Markets Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;20-Jul-2024
CANFINHOME;Can Fin Homes Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;20-Jul-2024
GRAVITA;Gravita India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;20-Jul-2024
HDFCBANK;HDFC Bank Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;20-Jul-2024
JKCEMENT;JK Cement Limited;Other business matters;To consider and approve financial results for quarter ended 30th June, 2024 other business matters;20-Jul-2024
KIRLPNU;Kirloskar Pneumatic Company Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;20-Jul-2024
KOTAKBANK;Kotak Mahindra Bank Limited;Financial Results;To consider and approve the financial results for the quarter ended June 30, 2024;20-Jul-2024
MOTISONS;Motisons Jewellers Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;20-Jul-2024
NETWEB;Netweb Technologies India Limited;Financial Results/Dividend/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024, dividend and other business matters;20-Jul-2024
POONAWALLA;Poonawalla Fincorp Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;20-Jul-2024
RBLBANK;RBL Bank Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;20-Jul-2024
ROSSARI;Rossari Biotech Limited;Financial Results;ROSSARI BIOTECH LIMITED has informed the Exchange about Board Meeting to be held on 20-July-2024 to inter-alia consider and approve the Unaudited Financial results of the Company for the quarter ended June 30 2024;20-Jul-2024
SESHAPAPER;Seshasayee Paper and Boards Limited;Financial Results;To consider and approve the Standalone and Consolidated Un-audited Financial Results of the Company for the period ended Jun 30, 2024;20-Jul-2024
SHAKTIPUMP;Shakti Pumps (India) Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;20-Jul-2024
SPORTKING;Sportking India Limited;Financial Results/Stock Split;To consider and approve the financial results for the period ended Jun 30, 2024 and stock split of equity shares and other business matter with permission of chair;20-Jul-2024
VENUSREM;Venus Remedies Limited;Board meeting Rescheduled;This is to inform you that the meeting of Board of Directors which was scheduled 20th July 2024 has been postponed till further notice due to non-availability of quorum..2. To finalize the date of 35th Annual General Meeting of the company.3. Any other business with permission of the Chair. has been postponed;20-Jul-2024
VENUSREM;Venus Remedies Limited;Other business matters;1. To consider the appointment of independent director.2. To finalize the date of 35th Annual General Meeting of the company.3. Any other business with permission of the Chair.;20-Jul-2024
VIKASLIFE;Vikas Lifecare Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;20-Jul-2024
YESBANK;Yes Bank Limited;Financial Results;To consider and approve the un-audited standalone and consolidated financial results for the period ended Jun 30, 2024;20-Jul-2024
