symbol;company;purpose;bm_desc;date
DLF;DLF Limited;Financial Results;To consider and approve, inter-alia, Un-audited Financial Results (Standalone and Consolidated) for the quarter ended 30th June 2024;25-Jul-2024
EMBASSY;Embassy Office Parks REIT;Financial Results/Dividend;Embassy REIT has informed the Exchange regarding the Board Schedule for the quarter ended June 30, 2024.;25-Jul-2024
EMBASSY;Embassy Office Parks REIT;Fund Raising;Embassy REIT has informed the Exchange regarding the Board Meeting schedule for the quarter ended June 30, 2024;25-Jul-2024
FOSECOIND;Foseco India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
GANGOTRI;Gangotri Textiles Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
GLS;Glenmark Life Sciences Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
GODIGIT;Go Digit General Insurance Limited;Financial Results;To consider and approve the un-audited financial results for the period ended Jun 30, 2024;25-Jul-2024
HMVL;Hindustan Media Ventures Limited;Financial Results;To consider and approve the Un-Audited financial results for the quarter ended on 30th June, 2024;25-Jul-2024
HOMEFIRST;Home First Finance Company India Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;25-Jul-2024
HOMEFIRST;Home First Finance Company India Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;25-Jul-2024
IGPL;IG Petrochemicals Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
JWL;Jupiter Wagons Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
JYOTHYLAB;Jyothy Labs Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
LAURUSLABS;Laurus Labs Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
LTFOODS;LT Foods Limited;Financial Results/Dividend;To consider and approve the financial results for the period ended Jun 30, 2024 and dividend;25-Jul-2024
MGEL;Mangalam Global Enterprise Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024.;25-Jul-2024
MGL;Mahanagar Gas Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
MHRIL;Mahindra Holidays & Resorts India Limited;Other business matters;Intimation of Board Meeting and Closure of Trading Window;25-Jul-2024
MITTAL;Mittal Life Style Limited;Financial Results;To consider and approve the financial results for the period ended June 30, 2024;25-Jul-2024
MOTILALOFS;Motilal Oswal Financial Services Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
MPHASIS;MphasiS Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
NESTLEIND;Nestle India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
PAISALO;Paisalo Digital Limited;Fund Raising;To consider Fund Raising;25-Jul-2024
PILITA;PIL ITALICA LIFESTYLE LIMITED;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
PNBHOUSING;PNB Housing Finance Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;25-Jul-2024
PRAJIND;Praj Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
RAMCOCEM;The Ramco Cements Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
SAIL;Steel Authority of India Limited;Fund Raising;To consider Fund Raising;25-Jul-2024
SHAH;Shah Metacorp Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;25-Jul-2024
SHAH;Shah Metacorp Limited;Financial Results;SHAH : 29-Jul-2024 :  The Company has informed the Exchange that a Board meeting to be held on July 25, 2024 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on July 29, 2024,  To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
SHAREINDIA;Share India Securities Limited;Financial Results/Dividend;Share India Securities Limited  has informed the Exchange about Board Meeting to be held on July 25, 2024 to consider and approve the unaudited financial results of the Company for the Quarter ended June 30, 2024 and declaration of Interim Dividend.;25-Jul-2024
SIKKO;Sikko Industries Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;25-Jul-2024
TECHM;Tech Mahindra Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended March 31, 2024 and other business matters;25-Jul-2024
THANGAMAYL;Thangamayil Jewellery Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
TIPSFILMS;Tips Films Limited;Financial Results;To consider and approve the Un-audited financial results for the quarter period ended June 30, 2024;25-Jul-2024
UBL;United Breweries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
UJJIVANSFB;Ujjivan Small Finance Bank Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
UTIAMC;UTI Asset Management Company Limited;Other business matters;Board Meeting Intimation for Considering and Approving Un-Audited Standalone And Consolidated Financial Results For The Quarter Ending 30Th June, 2024 And Discussing Other Business Matters.;25-Jul-2024
VENUSPIPES;Venus Pipes & Tubes Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
VESUVIUS;Vesuvius India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
VIJIFIN;Viji Finance Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;25-Jul-2024
VSSL;Vardhman Special Steels Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
VSTIND;VST Industries Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;25-Jul-2024
WESTLIFE;WESTLIFE FOODWORLD LIMITED;Financial Results;To consider and approve the unaudited financial results for the period ended Jun 30, 2024;25-Jul-2024
