symbol;company;purpose;bm_desc;date
21STCENMGM;21st Century Management Services Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
AAVAS;Aavas Financiers Limited;Financial Results;To consider and approve the Unaudited financial results for the period ended Jun 30, 2024;25-Jul-2024
ADANIENSOL;Adani Energy Solutions Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
ADANIGREEN;Adani Green Energy Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
ALLSEC;Allsec Technologies Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
ASHOKLEY;Ashok Leyland Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
AUBANK;AU Small Finance Bank Limited;Financial Results;In continuation to our intimation for closure of Trading Window for trading in the securities of the Bank vide letter bearing Ref. No. AUSFB/SEC/2024-25/132 dated June 29, 2024, it is hereby informed that meeting of the Board of Directors of the Bank will be held on Thursday, July 25, 2024, inter alia, to consider and approve the Unaudited Financial Results (subject to Limited Review by the Joint Statutory Auditors) of the Bank for the Quarter ended on June 30, 2024.;25-Jul-2024
BAGFILMS;B.A.G Films and Media Limited;Other business matters;To consider other business matters;25-Jul-2024
BANARBEADS;Banaras Beads Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
CANBK;Canara Bank;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
CHALET;Chalet Hotels Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
CHENNPETRO;Chennai Petroleum Corporation Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
CYIENT;Cyient Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
DBOL;Dhampur Bio Organics Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;25-Jul-2024
DIACABS;Diamond Power Infrastructure Limited;Financial Results/Other business matters;To consider and approve the unaudited financial results for the quarter ended June 30, 2024 and other business matters;25-Jul-2024
