symbol;company;purpose;bm_desc;date
CAMLINFINE;Camlin Fine Sciences Limited;Fund Raising/Other business matters;To consider and approve the proposal for raising of funds by way of rights issue of equity shares under applicable laws or issue of any other securities of the Company.;10-Sep-2024
NARMADA;Narmada Agrobase Limited;Fund Raising;To consider Fund Raising;10-Sep-2024
TIRUPATIFL;Tirupati Forge Limited;Other business matters;To consider other business matters Appointment and Resignation of Company Secretary & Compliance officer;10-Sep-2024
