symbol;company;purpose;bm_desc;date
AARON;Aaron Industries Limited;Other business matters;To consider other business matters;24-Aug-2024
AKUMS;Akums Drugs and Pharmaceuticals Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Aug-2024
DUCON;Ducon Infratechnologies Limited;Fund Raising;To consider Fund Raising via Rights Issue;24-Aug-2024
KANPRPLA;Kanpur Plastipack Limited;Fund Raising/Other business matters;To consider Fund Raising and other business matters;24-Aug-2024
MUTHOOTCAP;Muthoot Capital Services Limited;Fund Raising;To consider Fund Raising;24-Aug-2024
TCI;Transport Corporation of India Limited;Buyback;To consider buyback for equity shares;24-Aug-2024
