symbol;company;purpose;bm_desc;date
ASIANENE;Asian Energy Services Limited;Fund Raising;To consider Fund Raising by way of issue of equity shares or securities or convertible warrants on a preferential basis to the promoters and / or the non-promoter category of investor, including determination of price subject to such regulatory / statutory approvals as may be required, including the approval of shareholders of the Company.;27-Aug-2024
JETFREIGHT;Jet Freight Logistics Limited;Fund Raising;To consider Fund Raising;27-Aug-2024
PARAS;Paras Defence and Space Technologies Limited;Fund Raising/Other business matters;To consider Fund Raising and other business matters;27-Aug-2024
SKIPPER;Skipper Limited;Fund Raising;To consider Fund Raising;27-Aug-2024
SOTL;Savita Oil Technologies Limited;Other business matters;To consider Appointment of an Additional Director and other business matters;27-Aug-2024
SPANDANA;Spandana Sphoorty Financial Limited;Fund Raising;To consider Fund Raising;27-Aug-2024
SPMLINFRA;SPML Infra Limited;Fund Raising;To consider Fund Raising;27-Aug-2024
TULSI;Tulsi Extrusions Limited;Financial Results;To consider and approve the standalone financial results for the period ended Jun 30, 2024;27-Aug-2024
