symbol;company;purpose;bm_desc;date
AADHARHFC;Aadhar Housing Finance Limited;Fund Raising;In  furtherance to our prior intimation letter dated 12th July 2024, please note thatthe Board of Directors of the Company at their meeting to be held on Wednesday, 7th August, 2024, shall also inter alia ,consider and approve the General Information Memorandum for NCD issuance of upto Rs. 2000 cr. (fresh limit) on private placement basis in various series/ tranches and cancellation of existing unutilized limit.;07-Aug-2024
AADHARHFC;Aadhar Housing Finance Limited;Financial Results;Prior Intimation of upcoming Board Meeting of the Company to consider and approve the Standalone and Consolidated Unaudited Financial Results for the quarter ended 30th June, 2024 along with Limited Review Report of the Joint Statutory Auditors.;07-Aug-2024
AARVEEDEN;Aarvee Denims & Exports Limited;Financial Results;AARVEEDEN : 09-Aug-2024 :  The Company has informed the Exchange that a Board meeting to be held on August 07, 2024 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on August 09, 2024,  To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
AARVEEDEN;Aarvee Denims & Exports Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
ABFRL;Aditya Birla Fashion and Retail Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
ADROITINFO;Adroit Infotech Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;07-Aug-2024
AGARIND;Agarwal Industrial Corporation Limited;Financial Results/Stock Split;To consider and approve the financial results for the period ended Jun 30, 2024 and stock split of equity shares;07-Aug-2024
AHL;Abans Holdings Limited;Financial Results;To consider and approve the unaudited financial results (standalone and consolidated) for the period ended Jun 30, 2024;07-Aug-2024
AIAENG;AIA Engineering Limited;Buyback;To consider buyback for equity shares;07-Aug-2024
AIIL;Authum Investment & Infrastructure Limited;Financial Results/Fund Raising/Voluntary Delisting/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024, Fund Raising, voluntary delisting and other business matters;07-Aug-2024
APCL;Anjani Portland Cement Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
APOLLOTYRE;Apollo Tyres Limited;Financial Results;To consider and approve the Un-audited financial results for the quarter ended Jun 30, 2024;07-Aug-2024
AUTOAXLES;Automotive Axles Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
BALAMINES;Balaji Amines Limited;Financial Results;To consider and approve the Un-Audited Standalone and Consolidated Financial Results of the Company for the Quarter ended 30th June, 2024.;07-Aug-2024
BANARISUG;Bannari Amman Sugars Limited;Financial Results;To consider and approve the unaudited financial results for the period ended Jun 30, 2024;07-Aug-2024
