symbol;company;purpose;bm_desc;date
BASF;BASF India Limited;Financial Results;To consider and approve the financial results for the quarter ended June 30, 2024 for the financial year from 1st April, 2024 to 31st March, 2025;07-Aug-2024
BIGBLOC;Bigbloc Construction Limited;Fund Raising;Board meeting to consider and approve the preferential allotment of shares of the M/s. Starbigbloc Building Material Limited, a wholly owned subsidiary of the Company on a private placement basis ( Preferential Allotment );07-Aug-2024
BSE;BSE Limited;Financial Results;To consider and approve the Unaudited Financial results for the period ended Jun 30, 2024;07-Aug-2024
CAPLIPOINT;Caplin Point Laboratories Limited;Financial Results/Dividend;To consider and approve the financial results for the period ended Jun 30, 2024 and final dividend;07-Aug-2024
CARERATING;CARE Ratings Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
CCL;CCL Products (India) Limited;Financial Results/Other business matters;To consider and approve the unaudited financial results for the period ended Jun 30, 2024 and other business matters;07-Aug-2024
CHEMPLASTS;Chemplast Sanmar Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
CLEDUCATE;CL Educate Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;07-Aug-2024
COROMANDEL;Coromandel International Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
DCMSRIND;DCM Shriram Industries Limited;Financial Results;To consider and approve the unaudited financial results for the period ended Jun 30, 2024;07-Aug-2024
ESABINDIA;Esab India Limited;Financial Results;Notice is hereby given that a meeting of the Board of Directors of the Company will beheld on Wednesday the 7th August 2024, to take on record the Un-audited FinancialResults for the quarter ended 30th June 2024. The Un-audited Financial Results forthe quarter ended 30th June 2024 will be sent to you within 30 minutes of closure ofthe Board Meeting. The unaudited financial results is due for publication in (i) BusinessStandard   In English (ii) Makkal Kural   In Tamil.;07-Aug-2024
FDC;FDC Limited;Financial Results/Other business matters;To consider and approve the Unaudited financial results for the Quarter ended June 30, 2024, and other business matters;07-Aug-2024
GANDHAR;Gandhar Oil Refinery (India) Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
GMMPFAUDLR;GMM Pfaudler Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
GODFRYPHLP;Godfrey Phillips India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
GODREJCP;Godrej Consumer Products Limited;Financial Results/Dividend;To consider and approve the financial results for the period ended Jun 30, 2024 and dividend;07-Aug-2024
GODREJIND;Godrej Industries Limited;Fund Raising/Other business matters;To consider Fund Raising and other business matters;07-Aug-2024
GOKEX;Gokaldas Exports Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
GPIL;Godawari Power And Ispat limited;Financial Results/Dividend/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024, dividend and other business matters;07-Aug-2024
GPIL;Godawari Power And Ispat limited;Stock Split;To consider stock split of equity shares;07-Aug-2024
GPPL;Gujarat Pipavav Port Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;07-Aug-2024
GTECJAINX;G-TEC JAINX EDUCATION LIMITED;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;07-Aug-2024
HAPPYFORGE;Happy Forgings Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
HARSHA;Harsha Engineers International Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
HINDMOTORS;Hindustan Motors Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;07-Aug-2024
ITDCEM;ITD Cementation India Limited;Financial Results;To inter-alia consider and approve the Unaudited Financial results of the Company for the Quarter ended June 2024;07-Aug-2024
JAGSNPHARM;Jagsonpal Pharmaceuticals Limited;Financial Results;To consider and approve the unaudited financial results for the period ended Jun 30, 2024;07-Aug-2024
KIMS;Krishna Institute of Medical Sciences Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
KINGFA;Kingfa Science & Technology (India) Limited;Financial Results;To consider and approve the Un-audited financial results for the period ended Jun 30, 2024;07-Aug-2024
KIRLOSENG;Kirloskar Oil Engines Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
KREBSBIO;Krebs Biochemicals and Industries Limited;Financial Results/Other business matters;The Company has informed that the meeting of Board of Directors of the Company is schedule on 07/08/2024 inter alia to consider and approve Unaudited Financial Results for the quarter ended 30th June 2024.;07-Aug-2024
LALPATHLAB;Dr. Lal Path Labs Ltd.;Financial Results/Dividend/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024, dividend and other business matters;07-Aug-2024
LEMONTREE;Lemon Tree Hotels Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;07-Aug-2024
LGBFORGE;LGB Forge Limited;Financial Results;To consider and approve the unaudited financial results for the period ended June 30, 2024;07-Aug-2024
MAGNUM;Magnum Ventures Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
MANAKCOAT;Manaksia Coated Metals & Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
MAZDA;Mazda Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
MUTHOOTCAP;Muthoot Capital Services Limited;Financial Results;To consider and approve the unaudited financial results along with limited review report for the period ended Jun 30, 2024;07-Aug-2024
NACLIND;NACL Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
NATHBIOGEN;Nath Bio-Genes (India) Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
NEOGEN;Neogen Chemicals Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
NHPC;NHPC Limited;Financial Results;In compliance to Regulation 29 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, it is to inform that a meeting of Board of Directors of the Company is scheduled to be held on Wednesday, 07th August, 2024 to inter-alia consider unaudited Financial Results (Standalone and Consolidated) of the Company for the quarter ended on 30th June, 2024.;07-Aug-2024
NLCINDIA;NLC India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
NORBTEAEXP;Norben Tea & Exports Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
OAL;Oriental Aromatics Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
OMINFRAL;OM INFRA LIMITED;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
PALREDTEC;Palred Technologies Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
PARASPETRO;Paras Petrofils Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;07-Aug-2024
PIDILITIND;Pidilite Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
PTL;PTL Enterprises Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
QUINTEGRA;Quintegra Solutions Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
RADIANTCMS;Radiant Cash Management Services Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
RADICO;Radico Khaitan Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
RSYSTEMS;R Systems International Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;07-Aug-2024
RUCHINFRA;Ruchi Infrastructure Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;07-Aug-2024
SAFARI;Safari Industries (India) Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
SAHYADRI;Sahyadri Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
SAKSOFT;Saksoft Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;07-Aug-2024
SANGHVIMOV;Sanghvi Movers Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
SIGNATURE;Signatureglobal (India) Limited;Financial Results;Pursuant to the Regulation 29 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we write to inform you that a meeting of the Board of Directors has been scheduled to be held on Wednesday, 7th August, 2024 to, inter alia, consider and approve the un-audited Financial Results (both Standalone and Consolidated) of the Company for the quarter ended on 30th June, 2024. Pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015, Trading Window for dealing inthe securities of the Company which is already closed shall remain closed till 9th August, 2024;07-Aug-2024
SILLYMONKS;Silly Monks Entertainment Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
SKMEGGPROD;SKM Egg Products Export (India) Limited;Financial Results/Dividend;To consider and approve the financial results for the period ended Jun 30, 2024 and dividend;07-Aug-2024
SUKHJITS;Sukhjit Starch & Chemicals Limited;Financial Results/Stock Split;To consider and approve the financial results for the period ended Jun 30, 2024 and stock split of equity shares;07-Aug-2024
SULA;Sula Vineyards Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
TALBROAUTO;Talbros Automotive Components Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
TASTYBITE;Tasty Bite Eatables Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
TREL;Transindia Real Estate Limited;Financial Results/Dividend/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024, interim dividend for financial year 2024-25 and other business matters;07-Aug-2024
TVSSRICHAK;TVS Srichakra Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
UMANGDAIRY;Umang Dairies Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
UNOMINDA;UNO Minda Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
VARROC;Varroc Engineering Limited;Financial Results/Other business matters;To consider and approve the Unaudited financial results for the period ended Jun 30, 2024 and other business matters;07-Aug-2024
VENKEYS;Venky's (India) Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
VERANDA;Veranda Learning Solutions Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
WALCHANNAG;Walchandnagar Industries Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;07-Aug-2024
WELCORP;Welspun Corp Limited;Financial Results;Kindly note that a meeting of the Board of Directors of the Company is scheduled to be held on Wednesday, August 07, 2024, inter alia, to consider and approve the standalone as well as the consolidated Un-audited financial Statements of the Company for the quarter ended on June 30, 2024;07-Aug-2024
WELINV;Welspun Investments and Commercials Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
YUKEN;Yuken India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
ZEEMEDIA;Zee Media Corporation Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;07-Aug-2024
