symbol;company;purpose;bm_desc;date
AGSTRA;AGS Transact Technologies Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;23-Jul-2024
APOLLO;Apollo Micro Systems Limited;Fund Raising;To consider Fund Raising by issue of equity shares and/or convertible securities including warrants on preferential basis under SEBI (ICDR) Regulations, 2018;23-Jul-2024
BAJFINANCE;Bajaj Finance Limited;Financial Results/Other business matters;To consider and approve the unaudited standalone and consolidated financial results for the period ended Jun 30, 2024.;23-Jul-2024
BLUECOAST;Blue Coast Hotels Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;23-Jul-2024
DCMSHRIRAM;DCM Shriram Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;23-Jul-2024
HERITGFOOD;Heritage Foods Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;23-Jul-2024
HINDUNILVR;Hindustan Unilever Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;23-Jul-2024
HUHTAMAKI;Huhtamaki India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;23-Jul-2024
ICICIPRULI;ICICI Prudential Life Insurance Company Limited;Other business matters;Please be informed that a Meeting of the Board of Directors of the Company is scheduled to be held on Tuesday, July 23, 2024, to, inter alia, consider approval of the audited standalone and consolidated financial statements and financial results of the Company for the quarter ended June 30, 2024.;23-Jul-2024
ICRA;ICRA Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;23-Jul-2024
INDOCO;Indoco Remedies Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;23-Jul-2024
INFOBEAN;InfoBeans Technologies Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;23-Jul-2024
ISEC;ICICI Securities Limited;Financial Results;To consider and approve the unaudited financial results for the quarter ended June 30, 2024 at the Board Meeting to be held on Tuesday, July 23, 2024 in Mumbai.;23-Jul-2024
JAYSREETEA;Jayshree Tea & Industries Limited;Other business matters;1. To consider and approve the intended closure of sulphuric acid manufacturing undertaking situated at Pataudi, Gurgaon, Haryana,2.To consider and approve definitive agreement(s) to be entered into with the prospective buyer(s) of land at Pataudi, Gurgaon, Haryana, and3. To consider other business matters;23-Jul-2024
KAJARIACER;Kajaria Ceramics Limited;Financial Results;In terms of Regulation 29 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we wish to inform you that a meeting of the Board of Directors of the Company is scheduled to be held on Tuesday, July 23, 2024, to, inter-alia, consider and approve the Unaudited Financial Results of the Company for the quarter ended June 30, 2024.;23-Jul-2024
M&MFIN;Mahindra & Mahindra Financial Services Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;23-Jul-2024
MICEL;MIC Electronics Limited;Financial Results/Other business matters;To consider and approve the un-audited financial results for the period ended Jun 30, 2024 and other business matters;23-Jul-2024
NEXTMEDIA;Next Mediaworks Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;23-Jul-2024
PARAGMILK;Parag Milk Foods Limited;Financial Results;PARAG MILK FOODS LIMITED has informed the Exchange about Board Meeting to be held on 23-July-2024, inter-alia, to consider and approve the Financial Results of the Company for quarter ended June 30, 2024.;23-Jul-2024
RANEENGINE;Rane Engine Valve Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;23-Jul-2024
SCHAEFFLER;Schaeffler India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;23-Jul-2024
SHARDACROP;Sharda Cropchem Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;23-Jul-2024
SRF;SRF Limited;Financial Results/Dividend/Fund Raising;To consider and approve the financial results for the period ended Jun 30, 2024, dividend and Fund Raising;23-Jul-2024
SSWL;Steel Strips Wheels Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;23-Jul-2024
SURANAT&P;Surana Telecom and Power Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;23-Jul-2024
TATACONSUM;TATA CONSUMER PRODUCTS LIMITED;Fund Raising/Other business matters;Intimation of Capital Raising Committee Meeting for Proposed Rights Issue will be held on July 23, 2024;23-Jul-2024
THYROCARE;Thyrocare Technologies Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;23-Jul-2024
TORNTPHARM;Torrent Pharmaceuticals Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;23-Jul-2024
UNITDSPR;United Spirits Limited;Financial Results;we hereby inform you that a meeting of the board of directors of the Company is scheduled to be held on Tuesday, 23rd July 2024, inter alia to consider and approve the unaudited financial results (standalone and consolidated) of the Company for the quarter ended 30th June 2024.;23-Jul-2024
ZENSARTECH;Zensar Technologies Limited;Financial Results;ZENSARTECH : 22-Jul-2024 :  The Company has informed the Exchange that a Board meeting to be held on July 23, 2024 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on July 22, 2024,  To consider and approve the financial results for the period ended Jun 30, 2024;23-Jul-2024
ZENSARTECH;Zensar Technologies Limited;Other business matters;To consider other business matters;23-Jul-2024
