symbol;company;purpose;bm_desc;date
ATFL;Agro Tech Foods Limited;Fund Raising;To consider Fund Raising;28-Aug-2024
AVROIND;AVRO INDIA LIMITED;Fund Raising/Other business matters;To consider Fund Raising and other business matters;28-Aug-2024
BVCL;Barak Valley Cements Limited;Other business matters;To consider other business matters;28-Aug-2024
GILLETTE;Gillette India Limited;Financial Results/Dividend;With reference to the announcement dated June 27,2024 and in terms of Regulation 29 of the SEBI (Listing Obligations and Disclosure Requirements), Regulations, 2015, we would like to inform you that a meeting of the Board of Directors of the Company is re- scheduled for Thursday, August 29, 2024, inter alia, to consider and approve Audited Financial Results and Statements for the Financial Year ended June 30, 2024 and to consider recommendation of dividend, if any.;28-Aug-2024
GILLETTE;Gillette India Limited;Financial Results/Dividend;To consider and approve the financial results for the period ended Jun 30, 2024 and recommend dividend, if any;28-Aug-2024
GUJAPOLLO;Gujarat Apollo Industries Limited;Fund Raising;To consider Fund Raising;28-Aug-2024
HMAAGRO;HMA Agro Industries Limited;Dividend/Other business matters;1. To consider and approve the Annual Report along with Directors Report and Business Responsibility and Sustainability Report for the Financial Year ended 31st March, 2024.2. To consider and approve the Notice for 16th Annual General Meeting for the financial year ended on March 31, 2024 and to fix the day, date, time and venue for the 16thAnnual General Meeting of the company.3. To consider, approve and recommend the Final Dividend for the Financial year 2023-2024 to the members of the company.4. Other Matters;28-Aug-2024
KAUSHALYA;Kaushalya Infrastructure Development Corporation Limited;Other business matters;To consider AGM related matters;28-Aug-2024
NINSYS;NINtec Systems Limited;Other business matters;To consider and approve Notice of 9th Annual General Meeting and related matters thereof.;28-Aug-2024
PATINTLOG;Patel Integrated Logistics Limited;Fund Raising/Other business matters;This is to inform you that the meeting of Right Issue Committee of Board of Directors is proposed to be held on Wednesday, 28th August, 2024, inter alia, to consider, discuss and decide various matters in connection with the Rights Issue, including the specific terms of the Rights Issue, such as the determination of the Rights Issue price and related payment mechanism, Rights Issue size, rights entitlement ratio, the record date and timing of the Rights Issue;28-Aug-2024
VAISHALI;Vaishali Pharma Limited;Bonus/Other business matters;To consider bonus and other business matters;28-Aug-2024
VISHNU;Vishnu Chemicals Limited;Other business matters;To consider the variation of the preference shareholders  rights in terms of conversion of existing 7,66,37,500 7% Cumulative Redeemable Preference Shares ( CRPS ) to 7,66,37,500 7% Compulsory Convertible Preference Shares ( CCPS ) and issuance of equity shares arising on conversion thereof;28-Aug-2024
