symbol;company;purpose;bm_desc;date
E2E;E2E Networks Limited;Fund Raising;To consider Fund Raising;19-Aug-2024
HITECH;Hi-Tech Pipes Limited;Fund Raising;To consider Fund Raising;19-Aug-2024
INDTERRAIN;Indian Terrain Fashions Limited;Fund Raising/Other business matters;To consider Fund Raising and other business matters;19-Aug-2024
SURAJEST;Suraj Estate Developers Limited;Fund Raising;To consider Fund Raising by way of issue of equity shares/ preference shares/ bonds/ debentures/ non-convertible debt instruments/warrants/ any other securities through preferential issue;19-Aug-2024
