symbol;company;purpose;bm_desc;date
MUTHOOTCAP;Muthoot Capital Services Limited;Fund Raising;Intimation w.r.t Meeting of  Debenture Issue and Allotment Committee of Board of Directors to consider Fund Raising.;07-Sep-2024
UEL;Ujaas Energy Limited;Bonus/Other business matters;To consider bonus and other business matters;07-Sep-2024
UMAEXPORTS;Uma Exports Limited;Fund Raising;To consider Fund Raising;07-Sep-2024
ZENITHSTL;Zenith Steel Pipes & Industries Limited;Other business matters;To consider other business matters;07-Sep-2024
