symbol;company;purpose;bm_desc;date
BCG;Brightcom Group Limited;Other business matters;"Intimation of Board Meeting to be held on August 20, 2024 of Brightcom Group Limited;";20-Aug-2024
CMICABLES;CMI Limited;Financial Results;To consider and approve the financial results for the period ended December 31, 2023;20-Aug-2024
HINDZINC;Hindustan Zinc Limited;Dividend;To consider and approve the Second Interim Dividend on equity shares, if any, for the Financial Year 2024-25.;20-Aug-2024
OSIAHYPER;Osia Hyper Retail Limited;Fund Raising/Other business matters;To consider Fund Raising and other business matters;20-Aug-2024
VISHWARAJ;Vishwaraj Sugar Industries Limited;Dividend/Other business matters;To consider dividend and other business matters;20-Aug-2024
WEIZMANIND;Weizmann Limited;Buyback;To consider buyback for equity shares;20-Aug-2024
