symbol;company;purpose;bm_desc;date
360ONE;360 ONE WAM LIMITED;Financial Results/Dividend;Intimation under SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015( Listing Regulations, 2015 ) - Notice of Board Meeting and Earnings Call for the quarter ended June 30, 2024, with intimation of interim dividend and record date;30-Jul-2024
ADFFOODS;ADF Foods Limited;Financial Results;Board Meeting To consider and approve the Unaudited Standalone & Consolidated Financial Results for the Quarter Ended Jun 30, 2024.;30-Jul-2024
ADSL;Allied Digital Services Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
AEGISLOG;Aegis Logistics Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
AKSHAR;Akshar Spintex Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;30-Jul-2024
APARINDS;Apar Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
ARVSMART;Arvind SmartSpaces Limited;Financial Results;To consider and approve the unaudited financial results for the period ended Jun 30, 2024;30-Jul-2024
BALUFORGE;Balu Forge Industries Limited;Financial Results/Dividend/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024, dividend and other business matters;30-Jul-2024
CAPITALSFB;Capital Small Finance Bank Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;30-Jul-2024
CARBORUNIV;Carborundum Universal Limited;Financial Results;To consider and approve the  unaudited financial results for the quarter ended Jun 30, 2024;30-Jul-2024
CARTRADE;Cartrade Tech Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
CASTROLIND;Castrol India Limited;Financial Results/Dividend;"To consider and approve the following business: i. unaudited financial results of the Company for the quarter and half year ended 30 June 2024; andii. interim dividend for FY 2024, if any.";30-Jul-2024
CORDSCABLE;Cords Cable Industries Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;30-Jul-2024
DAMODARIND;Damodar Industries Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;30-Jul-2024
DBSTOCKBRO;DB (International) Stock Brokers Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;30-Jul-2024
DIXON;Dixon Technologies (India) Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
EMUDHRA;eMudhra Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
EXICOM;Exicom Tele-Systems Limited;Financial Results/Other business matters;EXICOM : 05-Aug-2024 :  The Company has informed the Exchange that the meeting of the Board of Directors which was scheduled on Tuesday July 30, 2024, is now re-scheduled on Monday, August 05, 2024, inter-alia to consider and approve the unaudited financial results of the Company for the 1st quarter ended June 30, 2024 of the financial year 2024-25, both on standalone and consolidated basis.;30-Jul-2024
EXICOM;Exicom Tele-Systems Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
EXIDEIND;Exide Industries Limited;Other business matters;Notice is hereby given pursuant to Regulation 29 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 that a meeting of the Board of Directors of the Company will be held on Tuesday, 30th July 2024 inter alia, to consider and approve the unaudited financial results of the Company for the quarter ending 30th June 2024.;30-Jul-2024
FINEORG;Fine Organic Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
FORCEMOT;FORCE MOTORS LTD;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
FSL;Firstsource Solutions Limited;Financial Results;To consider and approve the audited financial results for the period ended Jun 30, 2024;30-Jul-2024
GAIL;GAIL (India) Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;30-Jul-2024
GAYAHWS;Gayatri Highways Limited;Financial Results;Meeting of the Board of Directors of the Company will be held on Tuesday, the 30th day of July, 2024 inter-alia to  consider and approve the financial results for the period ended Jun 30, 2024.;30-Jul-2024
GOKUL;Gokul Refoils and Solvent Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
GRANULES;Granules India Limited;Financial Results;To consider and approve the un-audited financial results for the period ended Jun 30, 2024;30-Jul-2024
GREENPANEL;Greenpanel Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
HUBTOWN;Hubtown Limited;Fund Raising;"Pursuant to the Provisions of Regulation 29(1)(d) read with Regulation 29(2) of the SEBI (LODR) Regulations, 2015, we wish to inform you that, a meeting of the Board of Directors of the Company, is scheduled to be held on Tuesday, July 30, 2024, inter-alia, to consider, evaluate and, if deem fit, to approve the issue of equity shares and/or issuance of other securities / warrants convertible into equity shares of the Company to (i) certain members of the Promoter and Promoter Group of the Company; and/ or (ii) other investors being non-Promoters of the Company, through permissible modes including as preferential allotment, in accordance with the provisions of the SEBI (ICDR) Regulations, 2018 and the Companies Act, 2013, as amended, subject to receipt of requisite consent/approvals, as applicable.";30-Jul-2024
HYBRIDFIN;Hybrid Financial Services Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;30-Jul-2024
IMPAL;India Motor Parts and Accessories Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
INDIAMART;Indiamart Intermesh Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
INDUSTOWER;Indus Towers Limited;Buyback;To consider buyback for equity shares;30-Jul-2024
INDUSTOWER;Indus Towers Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
IOC;Indian Oil Corporation Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
JCHAC;Johnson Controls - Hitachi Air Conditioning India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
JSL;Jindal Stainless Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
JSL;Jindal Stainless Limited;Fund Raising;To consider Fund Raising;30-Jul-2024
LEXUS;Lexus Granito (India) Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
LLOYDSENGG;LLOYDS ENGINEERING WORKS LIMITED;Financial Results/Fund Raising/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024, Fund Raising and other business matters;30-Jul-2024
LLOYDSME;Lloyds Metals And Energy Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;30-Jul-2024
LODHA;Macrotech Developers Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
MANORAMA;Manorama Industries Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;30-Jul-2024
MOIL;MOIL Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
MUFIN;Mufin Green Finance Limited;Fund Raising;To consider Fund Raising by way of private placement of Unlisted, Secured, Non-Convertible Debentures.;30-Jul-2024
NAVINFLUOR;Navin Fluorine International Limited;Financial Results;Pursuant to Regulation 29 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, this is to inform you that a Meeting of the Board of Directors of the Company is scheduled to be held on Tuesday, July 30, 2024, inter-alia, to consider, approve and take on record, the Unaudited Standalone and Consolidated Financial Results of the Company for the quarter and three months ending June 30, 2024.In accordance with the provisions of SEBI (Prohibition of Insider Trading) Regulations, 2015 read with the Company s Code of Conduct to Regulate, Monitor and Report Trading by Designated Persons and their immediate relatives, the Trading Window in respect of dealings in the securities of the Company will remain closed from June 30, 2024 to August 01, 2024 (both days inclusive).This intimation is also being made available on the Company s website www.nfil.in.;30-Jul-2024
NXST;Nexus Select Trust;Dividend/Fund Raising;"Declaration of Distribution to Unitholders of the Trust for the quarter ended June 30, 2024; andRaising of funds by way of issuance of listed, rated, redeemable commercial papers and/or non-convertible debentures in one or more transactions, and/or in one or more series and/or tranches to eligible investor(s) that may be approved from time to time.";30-Jul-2024
NXST;Nexus Select Trust;Other business matters;To consider and approve Unaudited Condensed Standalone Financial Results and Unaudited Condensed Consolidated Financial Results of the Trust for the quarter ended June 30, 2024, subject to limited review by the Statutory Auditors.;30-Jul-2024
PANAMAPET;Panama Petrochem Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
PFS;PTC India Financial Services Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
PTCIL;PTC Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
RAJRATAN;Rajratan Global Wire Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;30-Jul-2024
RPPL;Rajshree Polypack Limited;Financial Results;To consider and approve the Unaudited Standalone and Consolidated Financial Results of the Company for the quarter ended on June 30, 2024, and to take on record the Limited Review Reports of the Auditors thereon.;30-Jul-2024
RRKABEL;R R Kabel Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
SAPPHIRE;Sapphire Foods India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
SELMC;SEL Manufacturing Company Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;30-Jul-2024
SERVOTECH;Servotech Power Systems Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;30-Jul-2024
SHEMAROO;Shemaroo Entertainment Limited;Financial Results;To consider and approve the Unaudited Standalone and Consolidated Financial Results of the Company for the quarter ended June 30, 2024.;30-Jul-2024
SHYAMMETL;Shyam Metalics and Energy Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;30-Jul-2024
SKIPPER;Skipper Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
SMCGLOBAL;SMC Global Securities Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
SOUTHBANK;The South Indian Bank Limited;Fund Raising/Other business matters;To consider raising of funds, Borrowings and to seek approval of the Shareholders for the aforesaid proposals and to consider convening the Annual General Meeting of the shareholders of the Bank.;30-Jul-2024
SPANDANA;Spandana Sphoorty Financial Limited;Fund Raising;To consider Fund Raising;30-Jul-2024
STARHEALTH;Star Health and Allied Insurance Company Limited;Financial Results;Star Health And Allied Insurance Company Limited has informed the Exchange about Board Meeting to be held on July 30, 2024 inter alia to consider and approve the standalone  un-audited financial results of the Company for the quarter ended June 30, 2024.;30-Jul-2024
STEL;Stel Holdings Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;30-Jul-2024
STLTECH;Sterlite Technologies Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
TATACONSUM;TATA CONSUMER PRODUCTS LIMITED;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;30-Jul-2024
TCPLPACK;TCPL Packaging Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
TITAGARH;TITAGARH RAIL SYSTEMS LIMITED;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
TORNTPOWER;Torrent Power Limited;Financial Results;To consider and approve the Unaudited Financial Results for the quarter ended June 30, 2024.;30-Jul-2024
TVSSCS;TVS Supply Chain Solutions Limited;Financial Results;TVS SUPPLY CHAIN SOLUTIONS LIMITED has informed the Exchange about the Board Meeting to be held on 30 July 2024 inter alia to consider and approve the Unaudited Standalone and Consolidated Financial Results for the Quarter ended Jun 30, 2024;30-Jul-2024
URJA;Urja Global Limited;Fund Raising;To consider Fund Raising;30-Jul-2024
URJA;Urja Global Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
V2RETAIL;V2 Retail Limited;Financial Results/Other business matters;To consider and approve the unaudited financial results for the period ended Jun 30, 2024 and other business matters.;30-Jul-2024
VBL;Varun Beverages Limited;Financial Results/Stock Split;Pursuant to the provisions of Regulation 29 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we wish to inform you that a meeting of the Board of Directors of the Company will be held on Tuesday, July 30, 2024 inter-alia, to consider and approve the following:(i) Unaudited Financial Results of the Company, both on Standalone and Consolidated basis, for the Quarter and Half Year ended June 30, 2024.(ii) Declaration of interim dividend to the Equity Shareholders of the Company for the Financial Year 2024.(iii) Proposal for sub-division/split of existing Equity Shares of the Company having a face value of Rs. 5/- each, fully paid up, in such manner as may be determined by the Board of Directors subject to the approval of Equity Shareholders of the Company and other applicable approval(s) (if any). In continuation to our letter dated June 25, 2024 regarding the closure of Trading Window from July 1, 2024 till 48 hours after public announcement of the Unaudited Financial Results for the Quarter and Half Year ended June 30, 2024, we wish to inform you that the Trading Window will be closed till August 1, 2024.Further, please note that the Company is following 1st January to 31st December as its Financial Year in terms of Section 2(41) of the Companies Act, 2013 as approved by the Company Law Board.;30-Jul-2024
VTL;Vardhman Textiles Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;30-Jul-2024
ZAGGLE;Zaggle Prepaid Ocean Services Limited;Financial Results;To consider and approve the financial results for the quarter ended Jun 30, 2024;30-Jul-2024
