symbol;company;purpose;bm_desc;date
3PLAND;3P Land Holdings Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;27-Jul-2024
ALANKIT;Alankit Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;27-Jul-2024
ALKALI;Alkali Metals Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;27-Jul-2024
ANANTRAJ;Anant Raj Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;27-Jul-2024
ASAHISONG;Asahi Songwon Colors Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;27-Jul-2024
ASALCBR;Associated Alcohols & Breweries Ltd.;Financial Results/Fund Raising;To consider and approve the financial results for the period ended Jun 30, 2024 and Fund Raising;27-Jul-2024
DRREDDY;Dr. Reddy's Laboratories Limited;Stock Split;To consider stock split of equity shares;27-Jul-2024
DRREDDY;Dr. Reddy's Laboratories Limited;Financial Results;To consider and approve the Unaudited financial results for the quarter ending June 30, 2024;27-Jul-2024
FINPIPE;Finolex Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;27-Jul-2024
GENUSPOWER;Genus Power Infrastructures Limited;Financial Results/Dividend;To consider and approve the financial results for the period ended Jun 30, 2024 and dividend;27-Jul-2024
ICICIBANK;ICICI Bank Limited;Other business matters;The meeting of the Board of Directors of the Bank is scheduled to be held on Saturday, July 27, 2024, to, inter alia, consider and approve the unaudited financial results (standalone and consolidated) for the quarter ending June 30, 2024.;27-Jul-2024
IDFCFIRSTB;IDFC First Bank Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;27-Jul-2024
J&KBANK;The Jammu & Kashmir Bank Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;27-Jul-2024
JPPOWER;Jaiprakash Power Ventures Limited;Financial Results;To consider and approve the Unaudited Financial Results for the quarter ended 30th June, 2024;27-Jul-2024
KRITI;Kriti Industries (India) Limited;Fund Raising;To consider Fund Raising through the issuance of Warrants Convertible into Equity Shares of the company to Promoter, Promoter Group and Non-Promoter/Other Persons.;27-Jul-2024
MOL;Meghmani Organics Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;27-Jul-2024
NTPC;NTPC Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;27-Jul-2024
PNB;Punjab National Bank;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;27-Jul-2024
RECLTD;REC Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;27-Jul-2024
SATINDLTD;Sat Industries Limited;Other business matters;To consider and approve the acquisition of a Company.;27-Jul-2024
SBFC;SBFC Finance Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;27-Jul-2024
SHAILY;Shaily Engineering Plastics Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;27-Jul-2024
SPANDANA;Spandana Sphoorty Financial Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;27-Jul-2024
SUMICHEM;Sumitomo Chemical India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;27-Jul-2024
TCI;Transport Corporation of India Limited;Other business matters;To consider/approve the unaudited Financial Results (Standalone & Consolidated) for the 1st Quarter ending on 30th June, 2024;27-Jul-2024
