symbol;company;purpose;bm_desc;date
PETRONET;Petronet LNG Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024.Pursuant to Code for Prevention of Insider Trading in the Securities of Petronet LNG Limited (PLL's Code) as well as Circular issued by the Stock Exchanges dated 2nd April, 2019, it was informed to the Stock Exchanges where the shares of the Company are listed vide letter dated 26th June 2024 that the Trading Window for dealing in securities of PLL would be closed, for all 'Insiders' as per PLL's Code, from 1st July 2024 till 48 hours after the unaudited financial results for the quarter ended 30th June 2024 would become generally available to Public.In view of the above, the Trading Window for trading in PLL's securities which was closed from 1st July 2024 shall remain closed till 26th July 2024 (both days inclusive). All Insiders have been advised not to deal with the securities of PLL during this period.;24-Jul-2024
PGEL;PG Electroplast Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Jul-2024
PNBGILTS;PNB Gilts Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Jul-2024
POWERINDIA;Hitachi Energy India Limited;Financial Results;We wish to inform you that the Meeting of Board of Directors of the Company is scheduled to be held on Wednesday, July 24, 2024, inter-alia, to consider and approve the unaudited financial results of the Company for the first quarter ended June 30, 2024.The Company will publish the results in the newspapers in accordance with Regulation 47 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 (SEBI Listing Regulations).Pursuant to Regulation 30 of SEBI Listing Regulations, we are also enclosing herewith the invitation for the conference call with Investors/Analysts to discuss on the Company s financial and operational performance for the first quarter ended June 30, 2024, scheduled on Thursday, July 25, 2024, at 16:00 to 17:00 hrs (IST).;24-Jul-2024
PRIMESECU;Prime Securities Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Jul-2024
RAMCOSYS;Ramco Systems Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;24-Jul-2024
RKFORGE;Ramkrishna Forgings Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;24-Jul-2024
RML;Rane (Madras) Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Jul-2024
SBILIFE;SBI Life Insurance Company Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Jul-2024
SHRIPISTON;Shriram Pistons & Rings Limited;Financial Results/Other business matters;To consider and approve the financial results for the quarter ended Jun 30, 2024 and other business matters;24-Jul-2024
SIS;SIS LIMITED;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Jul-2024
SONACOMS;Sona BLW Precision Forgings Limited;Fund Raising;To consider Fund Raising;24-Jul-2024
SONACOMS;Sona BLW Precision Forgings Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Jul-2024
SPYL;Shekhawati Poly-Yarn Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Jul-2024
SRPL;Shree Ram Proteins Limited;Other business matters;To consider Increase in the authorized share capital of the Company, Approval of the Notice of (EGM), Time, Venue for the Extraordinary General Meeting and other business matters;24-Jul-2024
