symbol;company;purpose;bm_desc;date
AETHER;Aether Industries Limited;Financial Results/Fund Raising/Other business matters;This is to inform that in accordance with Regulation 29 of the SEBI (Listing Obligation and Disclosure Requirements) Regulations, 2015, as amended, the Meeting of Board of Directors of Aether Industries Limited (herein referred as  Company ) is scheduled to be held on Friday, July 19, 2024, inter-alia to consider and approve the following agenda items:1. The unaudited standalone and consolidated Financial Results for the First Quarter ended on June 30, 2024.2. Proposal for raising funds through issuance of equity shares or any other equity linked instruments or securities including convertible preference shares, and / or bonds including foreign currency convertible bonds / debentures / non-convertible debt instruments along with warrants / convertible debentures / securities and / or any other equity based instruments, inter alia, a private placement or through one or more qualified institutional placement (QIP) and / or further public issue of equity and / or rights issue and / or preferential allotment and / or through any other permissible mode, which may also include the  Offer for Sale  (OFS) in accordance with the relevant provisions of applicable law, subject to approval from the shareholders of the Company and the receipt of statutory / regulatory and other approvals.3. Other business transactionsas annexed.;19-Jul-2024
ATUL;Atul Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
AURUM;Aurum PropTech Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
BIGBLOC;Bigbloc Construction Limited;Bonus/Other business matters;To consider bonus shares, Increase in authorise capital, annual general meeting and other business matters;19-Jul-2024
BLAL;BEML Land Assets Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
BLUEDART;Blue Dart Express Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
BPCL;Bharat Petroleum Corporation Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
CREDITACC;CREDITACCESS GRAMEEN LIMITED;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;19-Jul-2024
ESSENTIA;Integra Essentia Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
FEDFINA;Fedbank Financial Services Limited;Financial Results/Fund Raising;To consider and approve the financial results for the period ended Jun 30, 2024 and Fund Raising;19-Jul-2024
GLFL;Gujarat Lease Financing Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
ICICIGI;ICICI Lombard General Insurance Company Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
INDBANK;Indbank Merchant Banking Services Limited;Financial Results;To consider and approve the un-audited  financial results for the period ended Jun 30, 2024;19-Jul-2024
INDHOTEL;The Indian Hotels Company Limited;Financial Results;Intimation of Board Meeting for adopting the Un-Audited (Reviewed) Financial Resultsfor the quarter ended June 30, 2024;19-Jul-2024
INDUSINDBK;IndusInd Bank Limited;Fund Raising/Other business matters;To consider Fund Raising and other business matters;19-Jul-2024
JSWENERGY;JSW Energy Limited;Financial Results;To consider and approve the un-audited financial results for the quarter ended June 30, 2024;19-Jul-2024
JSWSTEEL;JSW Steel Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
JUBLPHARMA;Jubilant Pharmova Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
KABRAEXTRU;Kabra Extrusion Technik Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
KSOLVES;Ksolves India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
MAHEPC;Mahindra EPC Irrigation Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
NAM-INDIA;Nippon Life India Asset Management Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
OBEROIRLTY;Oberoi Realty Limited;Dividend;To consider interim dividend on equity shares for FY24-25;19-Jul-2024
OBEROIRLTY;Oberoi Realty Limited;Financial Results;To consider and approve the unaudited financial results for the period ended Jun 30, 2024;19-Jul-2024
ONWARDTEC;Onward Technologies Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
ORISSAMINE;The Orissa Minerals Development Company Limited;Financial Results;To consider and approve the financial results for the period ended March 31, 2024;19-Jul-2024
PATANJALI;Patanjali Foods Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
PAYTM;One 97 Communications Limited;Financial Results;To consider and approve the unaudited standalone and consolidated financial results of the Company for the quarter ended June 30, 2024;19-Jul-2024
PONNIERODE;Ponni Sugars (Erode) Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
PVRINOX;PVR INOX Limited;Financial Results/Other business matters;Notice of Board Meeting pursuant to Regulations 29, 33 and 52 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015;19-Jul-2024
RELIANCE;Reliance Industries Limited;Financial Results;Pursuant to Regulation 29 and other applicable provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, please note that meeting of the Board of Directors of the Company is scheduled to be held on Friday, July 19, 2024, inter alia, to consider and approve the standalone and consolidated unaudited financial results of the Company for the quarter ended June 30, 2024.;19-Jul-2024
ROUTE;ROUTE MOBILE LIMITED;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
RPGLIFE;RPG Life Sciences Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
SPENTEX;Spentex Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
SPLPETRO;Supreme Petrochem Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
SUMMITSEC;Summit Securities Limited;Financial Results;To consider and approve the Unaudited Financial Rsults for the period ended Jun 30, 2024;19-Jul-2024
TEJASNET;Tejas Networks Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
TREEHOUSE;Tree House Education & Accessories Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
TRIL;Transformers And Rectifiers (India) Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;19-Jul-2024
ULTRACEMCO;UltraTech Cement Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
VIRINCHI;Virinchi Limited;Financial Results;VIRINCHI : 22-Jul-2024 :  The Company has informed the Exchange that a Board meeting to be held on July 19, 2024 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on July 22, 2024,  To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
VIRINCHI;Virinchi Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
WIPRO;Wipro Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;19-Jul-2024
