symbol;company;purpose;bm_desc;date
ARIHANTCAP;Arihant Capital Markets Limited;Fund Raising/Other business matters;To consider Fund Raising and other business matters;06-Sep-2024
DAVANGERE;Davangere Sugar Company Limited;Fund Raising;To consider Fund Raising;06-Sep-2024
DJML;DJ Mediaprint & Logistics Limited;Fund Raising;"Pursuant to Regulation 29 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 (the 'Listing Regulations').  We would like to inform you that, the Board Meeting of the Company scheduled to be held on Friday, September 06, 2024 to consider interalia to:a. To consider raising funds by issuance of Convertible Equity Share Warrants to the Promoters/ Promoters Group and/or other prospective Investors on Preferential Basis, subject to approvals of shareholders;b. To consider the matters relating to the Postal Ballot.c. Any other matter with the permission of the Chair.";06-Sep-2024
GATECH;GACM Technologies Limited;Fund Raising/Other business matters;To consider Fund Raising and other business matters;06-Sep-2024
GATECHDVR;GACM Technologies Limited;Fund Raising/Other business matters;To consider Fund Raising and other business matters;06-Sep-2024
GATECHDVR;GACM Technologies Limited;Fund Raising/Other business matters;To consider Fund Raising and other business matters;06-Sep-2024
GENSOL;Gensol Engineering Limited;Fund Raising/Other business matters;Board Meeting to be held on Friday, September 06, 2024;06-Sep-2024
ONELIFECAP;Onelife Capital Advisors Limited;Other business matters;To consider other business matters;06-Sep-2024
PRUDMOULI;Prudential Sugar Corporation Limited;Other business matters;"With reference to the above captioned subject matter, we hereby inform you that the meeting of Board of Directors of the Company will be held on Friday, September 06, 2024 at 05:00 P.M. at the Registered Office of the Company, inter-alia, to consider the following agenda:1. To decide date, time and venue for the conduct of 33rd AGM for the Year Ended March 31, 2024;2. To consider and appoint Scrutinizer for the 33rd Annual General Meeting;3. Any other Business items with permission of the Chair. This information is also being uploaded on the Company Website: www.prudentialsugar.com.We request you to take the above information on record and acknowledge receipt of the same.";06-Sep-2024
RPPINFRA;R.P.P. Infra Projects Limited;Other business matters;To consider other business matters;06-Sep-2024
SANDUMA;Sandur Manganese & Iron Ores Limited;Fund Raising/Other business matters;To consider inter-alia proposal for fundraising by debt issue in the form of Non-Convertible Debentures on private placement basis.;06-Sep-2024
SPANDANA;Spandana Sphoorty Financial Limited;Fund Raising;To consider Fund Raising;06-Sep-2024
VIVIMEDLAB;Vivimed Labs Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended March 31, 2024 and other business matters;06-Sep-2024
