symbol;company;purpose;bm_desc;date
AFFLE;Affle (India) Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;03-Aug-2024
AIROLAM;Airo Lam limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;03-Aug-2024
APOLLOHOSP;Apollo Hospitals Enterprise Limited;Other business matters;To consider other business matters;03-Aug-2024
ARE&M;Amara Raja Energy & Mobility Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;03-Aug-2024
ARROWGREEN;Arrow Greentech Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;03-Aug-2024
CAPTRUST;Capital Trust Limited;Financial Results;CAPTRUST : 13-Aug-2024 :  The Company has informed the Exchange that a Board meeting to be held on August 03, 2024 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on August 13, 2024,  To consider and approve the financial results for the period ended Jun 30, 2024;03-Aug-2024
CAPTRUST;Capital Trust Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;03-Aug-2024
CDSL;Central Depository Services (India) Limited;Financial Results;CDSL has informed the Exchange about Board Meeting to be held on August 03, 2024 inter-alia to  consider and approve the Audited Financial results of the Company for the quarter ended June 2024.;03-Aug-2024
CGCL;Capri Global Capital Limited;Financial Results;To consider and approve the un-audited financial results for the period ended Jun 30, 2024;03-Aug-2024
CGCL;Capri Global Capital Limited;Fund Raising;To consider Fund Raising;03-Aug-2024
CHEMCON;Chemcon Speciality Chemicals Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;03-Aug-2024
DIVISLAB;Divi's Laboratories Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;03-Aug-2024
EVEREADY;Eveready Industries India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;03-Aug-2024
GAEL;Gujarat Ambuja Exports Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;03-Aug-2024
GANGAFORGE;Ganga Forging Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;03-Aug-2024
GOKULAGRO;Gokul Agro Resources Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;03-Aug-2024
HIMATSEIDE;Himatsingka Seide Limited;Financial Results;To consider and approve the unaudited financial results for the period ended Jun 30, 2024;03-Aug-2024
JAYBARMARU;Jay Bharat Maruti Limited;Financial Results/Fund Raising/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024, Fund Raising and other business matters;03-Aug-2024
JKTYRE;JK Tyre & Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;03-Aug-2024
KRITI;Kriti Industries (India) Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;03-Aug-2024
KRITINUT;Kriti Nutrients Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;03-Aug-2024
KUANTUM;Kuantum Papers Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;03-Aug-2024
LAGNAM;Lagnam Spintex Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;03-Aug-2024
NUCLEUS;Nucleus Software Exports Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;03-Aug-2024
PAR;Par Drugs and Chemicals Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;03-Aug-2024
RAMCOIND;Ramco Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;03-Aug-2024
SBIN;State Bank of India;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;03-Aug-2024
SBIN;State Bank of India;Fund Raising;To consider Fund Raising;03-Aug-2024
SIYSIL;Siyaram Silk Mills Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;03-Aug-2024
SOTL;Savita Oil Technologies Limited;Financial Results/Buyback;To consider and approve the financial results for the period ended Jun 30, 2024 and buyback for equity shares;03-Aug-2024
TERASOFT;Tera Software Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;03-Aug-2024
UTKARSHBNK;Utkarsh Small Finance Bank Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;03-Aug-2024
WEBELSOLAR;Websol Energy System Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;03-Aug-2024
ZIMLAB;Zim Laboratories Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;03-Aug-2024
ZUARI;Zuari Agro Chemicals Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;03-Aug-2024
