symbol;company;purpose;bm_desc;date
ABCAPITAL;Aditya Birla Capital Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;01-Aug-2024
ADANIENT;Adani Enterprises Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;01-Aug-2024
ADANIPORTS;Adani Ports and Special Economic Zone Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;01-Aug-2024
AKZOINDIA;Akzo Nobel India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;01-Aug-2024
ALKYLAMINE;Alkyl Amines Chemicals Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;01-Aug-2024
APTUS;Aptus Value Housing Finance India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;01-Aug-2024
ARVINDFASN;Arvind Fashions Limited;Financial Results;To inter-alia consider and approve the Unaudited Standalone and Consolidated Financial Results of the Company for the quarter ended Jun 30, 2024.;01-Aug-2024
ATL;Allcargo Terminals Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;01-Aug-2024
BHARATWIRE;Bharat Wire Ropes Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;01-Aug-2024
BOMDYEING;Bombay Dyeing & Mfg Company Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;01-Aug-2024
BSHSL;Bombay Super Hybrid Seeds Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;01-Aug-2024
CLEAN;Clean Science and Technology Limited;Financial Results;Pursuant to Regulation 29 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, intimation is hereby given that a meeting of the Board of Directors of the Company will be held on Thursday, 1st August, 2024, to inter alia, consider and approve the Unaudited Standalone and Consolidated Financial Results for the first quarter ended 30th June, 2024.;01-Aug-2024
DABUR;Dabur India Limited;Other business matters;Pursuant to provisions of Regulations 29 and 50 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we wish to inform you that a meeting of the Board of Directors of the Company is scheduled to be held on Thursday, the 1st August 2024 to inter alia, consider and approve the unaudited financial results for the quarter ended 30th June 2024.;01-Aug-2024
DATAMATICS;Datamatics Global Services Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;01-Aug-2024
