symbol;company;purpose;bm_desc;date
AARTECH;Aartech Solonics Limited;Dividend/Other business matters;To consider dividend and other business matters;05-Sep-2024
ABFRL;Aditya Birla Fashion and Retail Limited;Fund Raising;"Prior intimation about the meeting of the Finance Committee of the Board of Directors of the Company to be held on Thursday, September 5, 2024 inter alia, to consider the proposal for fund raising by way of issuance of Non-Convertible Debentures on a private placement basis, for an amount not exceeding &#8377; 500 crores";05-Sep-2024
BTML;Bodhi Tree Multimedia Limited;Other business matters;To consider other business matters;05-Sep-2024
CROWN;Crown Lifters Limited;Fund Raising;Board Meeting to be held on 05-09-2024 to consider Fund raising.;05-Sep-2024
CROWN;Crown Lifters Limited;Fund Raising;Revised intimation of Board Meeting to be held on 05-09-2024 to consider Fund Raising;05-Sep-2024
GLOBE;Globe Textiles (India) Limited;Other business matters;To consider other business matters;05-Sep-2024
INDOTHAI;Indo Thai Securities Limited;Fund Raising/Other business matters;To consider Fund Raising and other business matters;05-Sep-2024
JAIPURKURT;Nandani Creation Limited;Other business matters;To consider other business matters;05-Sep-2024
MATRIMONY;Matrimony.Com Limited;Buyback;To consider buyback for equity shares;05-Sep-2024
MKPL;M K Proteins Limited;Other business matters;Intimation of Board Meeting to be held to fix the date, time and venue for convening the 12th Annual General Meeting ( AGM ) of the shareholders of the Company and to approve the  Notice and Directors'  Report and to fix Book Closure Date;05-Sep-2024
MOKSH;Moksh Ornaments Limited;Other business matters;To consider other business matters;05-Sep-2024
MUFIN;Mufin Green Finance Limited;Other business matters;To consider and approve the Notice for Annual General Meeting and allied documents and matters and appointment of Secretarial Auditor for Financial Year 2024-25;05-Sep-2024
PATINTLOG;Patel Integrated Logistics Limited;Fund Raising/Other business matters;This is to inform you that the meeting of Right Issue Committee of Board of Directors is proposed to be held on Thursday, 05th September, 2024, inter alia, to approve Letter of Offer of the Rights Issue.;05-Sep-2024
RCF;Rashtriya Chemicals and Fertilizers Limited;Fund Raising;To consider Fund Raising;05-Sep-2024
RELIANCE;Reliance Industries Limited;Bonus;A meeting of the Board of Directors of the Company is scheduled to be held on Thursday, September 5, 2024 to consider and recommend to the shareholders for their approval, issue of bonus shares in the ratio of 1:1 to the Equity Shareholders of the Company by capitalization of reserves.;05-Sep-2024
SDBL;Som Distilleries & Breweries Limited;Other business matters;To fix day, date, time and venue of the ensuing 31st Annual General Meeting and approve the Final Notice of the AGM of the Company for the FY ended 31.03.2024 and accordingly to fix record date / book closure / relevant date.  To consider and approve the FY 2023-24 31st Annual Report along with Annexures.;05-Sep-2024
USK;Udayshivakumar Infra Limited;Other business matters;To consider other business matters:a. Approval of Auditor Report along with Financial Statements for year ended 31st March, 2024,b. Notice of 05th Annual General Meeting of the Company,c. Directors Report for the year ended 31st March, 2024 along with annexures,d. Appointment of Auditors,e. Appointment of independent Directors.;05-Sep-2024
WELENT;Welspun Enterprises Limited;Fund Raising;To consider and approve the proposal of raising of funds by way of issuance of any securities.;05-Sep-2024
