symbol;company;purpose;bm_desc;date
20MICRONS;20 Microns Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;26-Jul-2024
AARTIDRUGS;Aarti Drugs Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;26-Jul-2024
ACCELYA;Accelya Solutions India Limited;Financial Results/Dividend;To consider and approve the financial results for the period ended Jun 30, 2024 and dividend;26-Jul-2024
AMBER;Amber Enterprises India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;26-Jul-2024
APCOTEXIND;Apcotex Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;26-Jul-2024
AROGRANITE;Aro Granite Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;26-Jul-2024
BANDHANBNK;Bandhan Bank Limited;Financial Results;To consider and approve the Unaudited Financial Results for the quarter ended June 30, 2024;26-Jul-2024
CHEMBOND;Chembond Chemicals Ltd;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;26-Jul-2024
CHOLAFIN;Cholamandalam Investment and Finance Company Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;26-Jul-2024
CHOLAFIN;Cholamandalam Investment and Finance Company Limited;Fund Raising;To consider Fund Raising;26-Jul-2024
CIPLA;Cipla Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;26-Jul-2024
CUB;City Union Bank Limited;Financial Results/Fund Raising;To consider and approve the financial results for the period ended Jun 30, 2024 and Fund Raising;26-Jul-2024
DENORA;De Nora India Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;26-Jul-2024
EQUITASBNK;Equitas Small Finance Bank Limited;Financial Results/Fund Raising;To consider and approve the financial results for the period ended Jun 30, 2024 and Fund Raising;26-Jul-2024
ESAFSFB;ESAF Small Finance Bank Limited;Financial Results;To consider and approve the Unaudited Standalone Financial Results of the Bank for the period ended Jun 30, 2024.;26-Jul-2024
FILATFASH;Filatex Fashions Limited;Other business matters;To consider other business matters to appoint CEO/Director;26-Jul-2024
