symbol;company;purpose;bm_desc;date
GATECH;GACM Technologies Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;26-Jul-2024
GATECHDVR;GACM Technologies Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;26-Jul-2024
GMDCLTD;Gujarat Mineral Development Corporation Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;26-Jul-2024
HTMEDIA;HT Media Limited;Financial Results;HT MEDIA LIMITED has informed the Exchange about Board Meeting to be held on 26-July-2024 to consider and approve the Un-Audited Financial results of the Company for the quarter ended June 2024;26-Jul-2024
INDIGO;InterGlobe Aviation Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;26-Jul-2024
INDUSINDBK;IndusInd Bank Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;26-Jul-2024
INTELLECT;Intellect Design Arena Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;26-Jul-2024
IRBINVIT;IRB InvIT Fund;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;26-Jul-2024
KAYNES;Kaynes Technology India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;26-Jul-2024
KEC;KEC International Limited;Financial Results/Other business matters;To consider and approve the Unaudited Financial Results for the quarter ended June 30, 2024;26-Jul-2024
KEC;KEC International Limited;Fund Raising;To consider Fund Raising;26-Jul-2024
KFINTECH;Kfin Technologies Limited;Financial Results;To consider and approve the standalone and consolidated unaudited financial resultsof the Company for the quarter ended June 30, 2024.;26-Jul-2024
LATENTVIEW;Latent View Analytics Limited;Other business matters;Pursuant to Regulation 29 of the Listing Regulations notice is hereby given that the meeting of the Board of Directors of the Company is scheduled to be held on Friday, July 26, 2024, inter alia to consider and approve the Unaudited Standalone and Consolidated Financial Results of the Company prepared in accordance with Indian Accounting Standards (IndAS) for the quarter ending June 30, 2024.;26-Jul-2024
LEEL;LEEL Electricals Limited;Other business matters;To consider other business matters;26-Jul-2024
LXCHEM;Laxmi Organic Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;26-Jul-2024
MALLCOM;Mallcom (India) Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;26-Jul-2024
MANORG;Mangalam Organics Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024 and any other matter with the permission of the Chair.;26-Jul-2024
NELCAST;Nelcast Limited;Financial Results;To consider and approve the unaudited financial results for the period ended Jun 30, 2024;26-Jul-2024
NUVAMA;Nuvama Wealth Management Limited;Financial Results/Dividend;To consider and approve the financial results for the period ended Jun 30, 2024 and dividend;26-Jul-2024
OBCL;Orissa Bengal Carrier Limited;Other business matters;To consider other business matters;26-Jul-2024
PGINVIT;POWERGRID Infrastructure Investment Trust;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;26-Jul-2024
POWERGRID;Power Grid Corporation of India Limited;Financial Results;To consider and approve amongst other items of agenda, the Un-audited financial results for the first quarter ended Jun 30, 2024;26-Jul-2024
PPLPHARMA;Piramal Pharma Limited;Financial Results;To consider and approve the Unaudited Financial Results (Standalone and Consolidated) for the period ended June 30, 2024;26-Jul-2024
PPLPHARMA;Piramal Pharma Limited;Financial Results;To consider and approve the Unaudited Financial Results (Standalone and Consolidated) for the period ended June 30, 2024;26-Jul-2024
PSB;Punjab & Sind Bank;Fund Raising;To consider Fund Raising;26-Jul-2024
PSB;Punjab & Sind Bank;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;26-Jul-2024
QUICKHEAL;Quick Heal Technologies Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;26-Jul-2024
SANOFI;Sanofi India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;26-Jul-2024
SBC;SBC Exports Limited;Financial Results/Dividend;To consider and approve the financial results for the period ended Jun 30, 2024 and dividend;26-Jul-2024
SBICARD;SBI Cards and Payment Services Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;26-Jul-2024
SHREDIGCEM;Shree Digvijay Cement Co.Ltd;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;26-Jul-2024
SHRIRAMFIN;Shriram Finance Limited;Financial Results/Fund Raising/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024, Fund Raising and other business matters;26-Jul-2024
THEMISMED;Themis Medicare Limited;Financial Results;To inter alia, consider and approve the financial results for the period ended June 30, 2024;26-Jul-2024
TREJHARA;TREJHARA SOLUTIONS LIMITED;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;26-Jul-2024
TTKPRESTIG;TTK Prestige Limited;Financial Results;To consider and approve the Un-audited financial results for the period ended Jun 30, 2024;26-Jul-2024
VEDL;Vedanta Limited;Dividend;To consider second interim dividend for FY 2025;26-Jul-2024
XPROINDIA;Xpro India Limited;Financial Results;To consider and approve the financial results for the period ended June 30, 2024;26-Jul-2024
