symbol;company;purpose;bm_desc;date
ACL;Andhra Cements Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;18-Jul-2024
AUROPHARMA;Aurobindo Pharma Limited;Buyback;To consider buyback for equity shares;18-Jul-2024
BBL;Bharat Bijlee Limited;Other business matters;Intimation of Board Meeting scheduled to be held on Thursday, July 18, 2024, through audio-visual means, inter alia, to consider and approve the Unaudited Financial Results of the Company, for the quarter ended June 30, 2024;18-Jul-2024
CEATLTD;CEAT Limited;Financial Results;To consider and approve the Unaudited financial results for the quarter ended June 30, 2024.;18-Jul-2024
CENTRALBK;Central Bank of India;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;18-Jul-2024
CHOICEIN;Choice International Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;18-Jul-2024
CIEINDIA;CIE Automotive India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;18-Jul-2024
DALBHARAT;Dalmia Bharat Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;18-Jul-2024
DPABHUSHAN;D. P. Abhushan Limited;Other business matters;1. To consider, approve & take on record the unaudited Standalone Financial Results for the quarter ended on June 30, 2024 as per Regulation 33 of the Listing Regulation 2. Any other items as may be decided by the Board of Directors.;18-Jul-2024
FLEXITUFF;Flexituff Ventures International Limited;Other business matters;To consider other business matters;18-Jul-2024
GOPAL;Gopal Snacks Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;18-Jul-2024
GRINDWELL;Grindwell Norton Limited;Financial Results;To consider and approve the Unaudited Financial Results of the Company for the Quarter ended June 30, 2024;18-Jul-2024
HAVELLS;Havells India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;18-Jul-2024
INFY;Infosys Limited;Other business matters;To consider and approve the financial results for the period ended June 30, 2024;18-Jul-2024
INVENTURE;Inventure Growth & Securities Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;18-Jul-2024
JSWINFRA;JSW Infrastructure Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;18-Jul-2024
KARURVYSYA;Karur Vysya Bank Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;18-Jul-2024
KAVVERITEL;Kavveri Telecom Products Limited;Other business matters;We would like to inform you that, pursuant to Regulation 29(1)(d) and other applicable provisions of the SEBI Listing Regulations, the meeting of the Board of Directors of the Company is scheduled to be held on Thursday, July 18, 2024, inter-alia shall consider the following. 01. To consider the change in name of the company to KAVVERI DEFENCE & WIRELESS TECHNOLOGIES LIMITED.02. To appoint the Secretarial Auditor for the financial year 2023-2024.Kindly take the same on record.;18-Jul-2024
LICHSGFIN;LIC Housing Finance Limited;Other business matters;To consider and approve1) To fix date and approve notice of 35th Annual General Meeting of the Company.2)To determine the date of Book closure date for the purpose of determining the eligibility of the members for the dividend payment.3) To consider any other matter with the permission of the Chair.;18-Jul-2024
LTTS;L&T Technology Services Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;18-Jul-2024
MASTEK;Mastek Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;18-Jul-2024
MENONBE;Menon Bearings Limited;Financial Results/Dividend;To consider and approve the financial results for the period ended Jun 30, 2024 and interim dividend for the financial year 2024-25;18-Jul-2024
NEWGEN;Newgen Software Technologies Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;18-Jul-2024
PERSISTENT;Persistent Systems Limited;Financial Results/Other business matters;To consider and approve the quarterly financial results for the period ended Jun 30, 2024 and other business matters;18-Jul-2024
POLYCAB;Polycab India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;18-Jul-2024
PREMEXPLN;Premier Explosives Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;18-Jul-2024
RALLIS;Rallis India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;18-Jul-2024
RIIL;Reliance Industrial Infrastructure Limited;Financial Results;To consider and approve the Un-audited Standalone and Consolidated Financial Results of the Company for the quarter ended June 30, 2024.;18-Jul-2024
SAGCEM;Sagar Cements Limited;Financial Results;To consider and approve the un-audited standalone and consolidated financial results for the period ended Jun 30, 2024;18-Jul-2024
SHOPERSTOP;Shoppers Stop Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;18-Jul-2024
SHRENIK;Shrenik Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;18-Jul-2024
SOUTHBANK;The South Indian Bank Limited;Financial Results;to consider, approve and take on record the Unaudited Standalone and Consolidated Financial Results of the Bank for the quarter ended 30th June, 2024;18-Jul-2024
SWARAJENG;Swaraj Engines Limited;Financial Results;Pursuant to Regulation 29(1)(a) of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we hereby inform that the Meeting of the Board of Directors of the Company will be held on 18th July, 2024 (Thursday), to inter alia, consider and approve the Unaudited Financial Results of the Company for the first quarter ended 30th June, 2024.In terms of the Code of Conduct for Prevention of Insider Trading in Securities of Swaraj Engines Limited, the Trading Window has been closed from 1st July, 2024 to 20th July, 2024 (both days inclusive).This intimation is also being uploaded on the Company's website at www.swarajenterprise.com.You are requested to kindly take note of the above.;18-Jul-2024
SWSOLAR;Sterling and Wilson Renewable Energy Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;18-Jul-2024
TANLA;Tanla Platforms Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;18-Jul-2024
TATACOMM;Tata Communications Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;18-Jul-2024
TATACOMM;Tata Communications Limited;Fund Raising;To consider Fund Raising through the mode of issuance of Non-Convertible Debentures.;18-Jul-2024
TATATECH;Tata Technologies Limited;Financial Results;To consider the Unaudited Standalone and Consolidated Financial Results for the quarter ended June 30, 2024 along with the Limited Review Report of the Auditors for the corresponding period;18-Jul-2024
VRAJ;Vraj Iron and Steel Limited;Financial Results;To consider and approve the financial results for the period ended March 31, 2024;18-Jul-2024
