symbol;company;purpose;bm_desc;date
AARON;Aaron Industries Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;08-Aug-2024
ABB;ABB India Limited;Dividend;to consider and approve to consider and approve declaration of interim dividend and fixing of record date;08-Aug-2024
ABB;ABB India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;08-Aug-2024
AGRITECH;Agri-Tech (India) Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;08-Aug-2024
AJMERA;Ajmera Realty & Infra India Limited;Financial Results/Other business matters;To consider and approve the Un-audited financial results for the period ended June 30, 2024 and other business matters;08-Aug-2024
AKG;Akg Exim Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;08-Aug-2024
ALICON;Alicon Castalloy Limited;Financial Results/Dividend;To consider and approve the financial results for the period ended Jun 30, 2024 and dividend;08-Aug-2024
AMNPLST;Amines & Plasticizers Limited;Financial Results;To consider and approve  inter alia Unaudited (Standalone & Consolidated) financial results for the first quarter ended June 30, 2024.;08-Aug-2024
ARTEMISMED;Artemis Medicare Services Limited;Financial Results;to consider and approve the Un-audited Financial Results (Standalone & Consolidated) for the quarter ended June 30, 2024;08-Aug-2024
ASHIMASYN;Ashima Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;08-Aug-2024
ASTRAL;Astral Limited;Financial Results;ASTRAL LIMITED has informed the Exchange about Board Meeting to be held on 08-Aug-2024 to inter-alia consider and approve the Unaudited Financial results of the Company for the Quarterly ended 30th June, 2024;08-Aug-2024
ASTRAZEN;AstraZeneca Pharma India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;08-Aug-2024
AUSOMENT;Ausom Enterprise Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;08-Aug-2024
AVALON;Avalon Technologies Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;08-Aug-2024
AWHCL;Antony Waste Handling Cell Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;08-Aug-2024
AZAD;Azad Engineering Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;08-Aug-2024
BAJEL;Bajel Projects Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;08-Aug-2024
BBTC;Bombay Burmah Trading Corporation Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;08-Aug-2024
BHARATFORG;Bharat Forge Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;08-Aug-2024
BHARATFORG;Bharat Forge Limited;Financial Results/Fund Raising;To consider and approve the financial results for the period ended Jun 30, 2024 and Fund Raising;08-Aug-2024
BHARATGEAR;Bharat Gears Limited;Financial Results;"To consider and approve the financial results for the period ended Jun 30, 2024: Pursuant to Regulation 29 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we hereby inform that 3/24-25 Meeting of the Board of Directors of  the Company is scheduled to be held on August 08, 2024 inter-alia; to consider, approve and take on record the Un-Audited Financial Results of the Company for the quarter ended June 30, 2024.Further to our letter dated June 27, 2024, this is to inform that in terms of the Code for Prevention of Insider Trading read with the SEBI (Prohibition of Insider Trading) Regulations, 2015, the Trading Window for dealing in the shares of the Company for Promoters/Promoter Group/Directors/Key Managerial Personnel/Designated Persons/Connected Persons of the Company shall be closed till Saturday, August 10, 2024.You are requested to take it on your records.";08-Aug-2024
BHARATRAS;Bharat Rasayan Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;08-Aug-2024
BIOCON;Biocon Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;08-Aug-2024
BIRLACORPN;Birla Corporation Limited;Financial Results/Fund Raising;To consider and approve the financial results for the period ended Jun 30, 2024 and Fund Raising;08-Aug-2024
BURNPUR;Burnpur Cement Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;08-Aug-2024
CARYSIL;CARYSIL LIMITED;Financial Results;To consider and approve the unaudited financial results for the period ended Jun 30, 2024;08-Aug-2024
CHEMFAB;Chemfab Alkalis Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;08-Aug-2024
CHEVIOT;Cheviot Company Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;08-Aug-2024
COCHINSHIP;Cochin Shipyard Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;08-Aug-2024
