symbol;company;purpose;bm_desc;date
EMMBI;Emmbi Industries Limited;Fund Raising;To consider Fund Raising;21-Aug-2024
JPINFRATEC;Jaypee Infratech Limited;Other business matters;To consider and if thought fit, to approve the Financial Statements as on 07th March 2023 (i.e. the NCLT order date approving the Resolution Plan), which was considered as  Appointed Date  by the successful Resolution Applicant to consider impact of the approved Resolution Plan in the books of accounts of the Company pursuant to Para 34.12 of the Resolution Plan.;21-Aug-2024
PGHL;Procter & Gamble Health Limited;Financial Results/Dividend;To consider and approve the financial results for the period ended Jun 30, 2024 and dividend (if any);21-Aug-2024
