symbol;company;purpose;bm_desc;date
DHARSUGAR;Dharani Sugars & Chemicals Limited;Other business matters;To consider other business matters  To consider and allot  8314328 equity shares of  Rs.10/- each to NARCL.  To consider and allot 1708 Secured Non-Convertible Debentures of  Rs.100000/- each to NARCL;11-Sep-2024
RELTD;Ravindra Energy Limited;Fund Raising/Other business matters;To consider Fund Raising and other business matters;11-Sep-2024
SATIN;Satin Creditcare Network Limited;Fund Raising;To consider Fund Raising;11-Sep-2024
