symbol;company;purpose;bm_desc;date
BIKAJI;Bikaji Foods International Limited;Other business matters;To consider other business matters- Acquisition;23-Aug-2024
CROWN;Crown Lifters Limited;Other business matters;1. To take note of Secretarial Audit Report and to approve Directors  Report thereof for the F.Y.  2023-24.2. To decide the day, date, time and venue of 22nd Annual General Meeting of the company and approve draft notice for calling AGM of the company thereof.3. To fix the date of closure of register of members and share transfer books of the company for the purpose of Annual General Meeting.4. To discuss any other matter with the permission of the chairman;23-Aug-2024
ENERGYDEV;Energy Development Company Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;23-Aug-2024
LEXUS;Lexus Granito (India) Limited;Other business matters;To consider other business matters;23-Aug-2024
SBGLP;Suratwwala Business Group Limited;Other business matters;To consider other business matters;23-Aug-2024
TIJARIA;Tijaria Polypipes Limited;Other business matters;")  to consider the Following Businesses1. To finalize the date, day, venue and time for convening the Annual General Meeting of the shareholders of the Company for the financial year ended on 31st March, 2024. 2. To consider and approve the Notice of 18th Annual General Meeting. 3. To consider and adopt Board s Report of the Company for the Financial Year 2023-24.4. To consider appointment of Scrutinizer to oversee the e-voting process of the Company at the Annual General Meeting; 5. To decide the date of Book Closure for the purpose of Annual General Meeting of the Company; 6. Any other matter with the permission of Chair";23-Aug-2024
