symbol;company;purpose;bm_desc;date
ADVENZYMES;Advanced Enzyme Technologies Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
ANMOL;Anmol India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
APEX;Apex Frozen Foods Limited;Financial Results;To consider and approve the unaudited financial results for the period ended Jun 30, 2024;10-Aug-2024
APLAPOLLO;APL Apollo Tubes Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
ATULAUTO;Atul Auto Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
AUROPHARMA;Aurobindo Pharma Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
AUTOIND;Autoline Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
AYMSYNTEX;AYM Syntex Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
CROWN;Crown Lifters Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;10-Aug-2024
EMSLIMITED;EMS Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
EXXARO;Exxaro Tiles Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
FINCABLES;Finolex Cables Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
FLAIR;Flair Writing Industries Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
GANECOS;Ganesha Ecosphere Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
GLOBAL;Global Education Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;10-Aug-2024
HECPROJECT;HEC Infra Projects Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
HISARMETAL;Hisar Metal Industries Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;10-Aug-2024
HOVS;HOV Services Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
IFGLEXPOR;IFGL Refractories Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
INDOTHAI;Indo Thai Securities Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;10-Aug-2024
JAGRAN;Jagran Prakashan Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
JAIPURKURT;Nandani Creation Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
JYOTICNC;Jyoti CNC Automation Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
KAMOPAINTS;Kamdhenu Ventures Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
KAPSTON;Kapston Services Limited;Financial Results;To consider and approve the Un-audited financial results for the period ended Jun 30, 2024;10-Aug-2024
KHAITANLTD;Khaitan (India) Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;10-Aug-2024
LFIC;Lakshmi Finance & Industrial Corporation Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
LUMAXTECH;Lumax Auto Technologies Limited;Financial Results/Other business matters;Intimation of Board Meeting scheduled to be held on Saturday, August 10, 2024, to consider and approve the Un-audited Financial Results (Standalone and Consolidated) for the Quarter ended June 30, 2024;10-Aug-2024
MARSHALL;Marshall Machines Limited;Other business matters;To consider other business matters;10-Aug-2024
MAWANASUG;Mawana Sugars Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;10-Aug-2024
METROPOLIS;Metropolis Healthcare Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
MMP;MMP Industries Limited;Other business matters;To consider other business matters;10-Aug-2024
NARMADA;Narmada Agrobase Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
NILAINFRA;Nila Infrastructures Limited;Financial Results;To consider and approve the unaudited financial results for the period ended Jun 30, 2024;10-Aug-2024
NOVAAGRI;Nova Agritech Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
PAKKA;PAKKA LIMITED;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;10-Aug-2024
PNCINFRA;PNC Infratech Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
PPAP;PPAP Automotive Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
PRECWIRE;Precision Wires India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
RCOM;Reliance Communications Limited;Financial Results;To consider and approve the Unaudited Financial Results for the quarter ended on June 30, 2024;10-Aug-2024
SBGLP;Suratwwala Business Group Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;10-Aug-2024
SHRADHA;Shradha Infraprojects Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;10-Aug-2024
SIRCA;Sirca Paints India Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;10-Aug-2024
SMARTLINK;Smartlink Holdings Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
SPAL;S. P. Apparels Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;10-Aug-2024
STOVEKRAFT;Stove Kraft Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
SUPRIYA;Supriya Lifescience Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
TCLCONS;Tantia Constructions Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;10-Aug-2024
